SAT,GPA
14,2.4
64,2.52
60,2.54
85,2.74
93,2.83
70,2.91
64,3
64,3
92,3.01
50,3.01
35,3.02
75,3.07
35,3.08
12,3.08
73,3.12
72,3.17
55,3.17
74,3.17
42,3.17
86,3.19
61,3.19
22,3.19
63,3.2
87,3.21
74,3.24
26,3.28
87,3.28
21,3.28
20,3.28
94,3.28
69,3.28
34,3.28
75,3.29
55,3.29
80,3.29
49,3.31
08,3.32
54,3.34
77,3.37
31,3.37
65,3.37
50,3.38
66,3.38
02,3.39
90,3.39
25,3.4
24,3.4
56,3.4
57,3.41
79,3.41
02,3.41
55,3.42
07,3.42
34,3.42
79,3.44
87,3.47
30,3.47
53,3.47
81,3.47
91,3.48
64,3.49
08,3.49
93,3.5
41,3.51
93,3.51
32,3.52
50,3.52
34,3.54
61,3.58
31,3.58
33,3.59
78,3.59
75,3.6
34,3.6
21,3.61
15,3.62
97,3.64
20,3.65
43,3.71
36,3.71
10,3.71
87,3.73
62,3.76
50,3.81
